member_id,Agente,Email,Data,Status,Time,Canal,Contrato
a1R3j000002b8aZEAQ,Lujan Boles,lujan.boles@casedisponibilidade.br,2022-02-17,Ativo,Time1,Chat,CLT
a1R3j0000043oExEAI,Clift Tiffany,clift.tiffany@casedisponibilidade.br,2022-02-05,Ativo,Time1,Chat,CLT
a1R3j000003gHKgEAM,Hester Revis,hester.revis@casedisponibilidade.br,2022-02-09,Ativo,Time1,Chat,CLT
a1R3j000003gGI6EAM,Hollis Bloch,hollis.bloch@casedisponibilidade.br,2022-02-03,Ativo,Time1,Chat,CLT
a1R3j000002b738EAA,Shreve Heater,shreve.heater@casedisponibilidade.br,2022-02-19,Ativo,Time1,Chat,CLT
a1R3j0000043obcEAA,Vanhouten Cousin,vanhouten.cousin@casedisponibilidade.br,2022-02-12,Ativo,Time3,Chat,CLT
a1R3j000003gGYREA2,Spiegel Clancy,spiegel.clancy@casedisponibilidade.br,2022-02-14,Ativo,Time3,Chat,CLT
a1R3j000003gCfZEAU,Marcum Varnado,marcum.varnado@casedisponibilidade.br,2022-02-10,Ativo,Time1,Chat,CLT*
a1R3j000003gGJ9EAM,Hand Thibodeaux,hand.thibodeaux@casedisponibilidade.br,2022-02-27,Ativo,Time1,Chat,CLT
a1R3j0000043rzQEAQ,Starling Fike,starling.fike@casedisponibilidade.br,2022-02-02,Ativo,Time1,Chat,CLT
a1R3j000003gGHzEAM,Upton Dodd,upton.dodd@casedisponibilidade.br,2022-02-01,Ativo,Time1,Chat,CLT
a1R3j000002b8bgEAA,Blackmore Dickens,blackmore.dickens@casedisponibilidade.br,2022-02-26,Ativo,Time1,Chat,CLT
a1R3j000003gFUiEAM,Gaspar Shephard,gaspar.shephard@casedisponibilidade.br,2022-02-16,Ativo,Time2,Chat,CLT
a1R3j000003ncMTEAY,Solano Bushey,solano.bushey@casedisponibilidade.br,2022-02-16,Ativo,Time1,Chat,CLT
a1R3j000003gGITEA2,Roberson Grogan,roberson.grogan@casedisponibilidade.br,2022-02-02,Ativo,Time1,Chat,CLT
a1R41000002LqutEAC,Craver Shore,craver.shore@casedisponibilidade.br,2022-02-14,Ativo,Time2,Chat,CLT
a1R3j000002b8bgEAA,Blackmore Dickens,blackmore.dickens@casedisponibilidade.br,2022-02-25,Férias,Time1,Chat,CLT
a1R3j000003ncMbEAI,Odom Stoker,odom.stoker@casedisponibilidade.br,2022-02-23,Ativo,Time1,Chat,CLT
a1R3j000003na85EAA,Truett Baillargeon,truett.baillargeon@casedisponibilidade.br,2022-02-13,Ativo,Time1,Chat,CLT
a1R3j000003gH1aEAE,Harville Quimby,harville.quimby@casedisponibilidade.br,2022-02-09,Ativo,Time3,Chat,CLT
a1R3j000003gHPLEA2,Lane Beasley,lane.beasley@casedisponibilidade.br,2022-02-15,Ativo,Time1,Chat,CLT
a1R3j000003ndCQEAY,Fernandez Plourde,fernandez.plourde@casedisponibilidade.br,2022-02-01,Ativo,Time1,Chat,CLT
a1R3j000002b73WEAQ,Nolin Curley,nolin.curley@casedisponibilidade.br,2022-02-14,Ativo,Time1,Chat,CLT
a1R3j000002bAakEAE,Cloud Pare,cloud.pare@casedisponibilidade.br,2022-02-27,Ativo,Time1,Chat,CLT
a1R3j000002bAapEAE,Mendes Glass,mendes.glass@casedisponibilidade.br,2022-02-12,Ativo,Time1,Chat,CLT
a1R3j000003ndyTEAQ,Bock Grimsley,bock.grimsley@casedisponibilidade.br,2022-02-14,Ativo,Time3,Chat,CLT
a1R3j0000043rzKEAQ,Aceves Bowden,aceves.bowden@casedisponibilidade.br,2022-02-24,Ativo,Time1,Chat,CLT
a1R3j0000043szpEAA,Dunkin Eugene,dunkin.eugene@casedisponibilidade.br,2022-02-10,Ativo,Time1,Chat,CLT
a1R3j0000043rupEAA,Hurley Shell,hurley.shell@casedisponibilidade.br,2022-02-28,Ativo,Time1,Chat,CLT
a1R3j000003na8FEAQ,Audette Bice,audette.bice@casedisponibilidade.br,2022-02-16,Ativo,Time1,Chat,CLT
a1R3j0000043sx5EAA,Mclaurin Dryer,mclaurin.dryer@casedisponibilidade.br,2022-02-03,Ativo,Time3,Chat,CLT
a1R1L000008deexUAA,Parish Bogart,parish.bogart@casedisponibilidade.br,2022-02-08,Ativo,Time1,Chat,CLT
a1R3j000003gH1aEAE,Harville Quimby,harville.quimby@casedisponibilidade.br,2022-02-17,Ativo,Time3,Chat,CLT
a1R3j000003gCfZEAU,Marcum Varnado,marcum.varnado@casedisponibilidade.br,2022-02-17,Ativo,Time1,Chat,CLT*
a1R3j0000043sx8EAA,Lark Lawlor,lark.lawlor@casedisponibilidade.br,2022-02-21,Ativo,Time3,Chat,CLT
a1R3j000003gFUtEAM,Crumley Ebersole,crumley.ebersole@casedisponibilidade.br,2022-02-01,Ativo,Time1,Chat,CLT
a1R3j000002b8baEAA,Redwine Killough,redwine.killough@casedisponibilidade.br,2022-02-26,Ativo,Time1,Chat,CLT
a1R3j000002bCoxEAE,Goldsberry Hearne,goldsberry.hearne@casedisponibilidade.br,2022-02-25,Ativo,Time1,Chat,CLT
a1R3j000003gHJqEAM,Voyles Flatt,voyles.flatt@casedisponibilidade.br,2022-02-25,Ativo,Time1,Chat,CLT
a1R3j000003na8EEAQ,Scarbrough Trapp,scarbrough.trapp@casedisponibilidade.br,2022-02-01,Ativo,Time1,Chat,CLT
a1R3j0000043s1mEAA,Mitchell Bible,mitchell.bible@casedisponibilidade.br,2022-02-15,Ativo,Time3,Chat,CLT
a1R3j000002b5inEAA,Martineau Belt,martineau.belt@casedisponibilidade.br,2022-02-24,Ativo,Time1,Chat,CLT
a1R3j000003gH1bEAE,Hunt Andrus,hunt.andrus@casedisponibilidade.br,2022-02-05,Ativo,Time3,Chat,CLT
a1R41000004BOobEAG,Ross Cronin,ross.cronin@casedisponibilidade.br,2022-02-05,Ativo,Time2,Chat,CLT
a1R3j0000043nikEAA,West Mandel,west.mandel@casedisponibilidade.br,2022-02-06,Ativo,Time3,Chat,CLT
a1R41000004BOobEAG,Ross Cronin,ross.cronin@casedisponibilidade.br,2022-02-17,Ativo,Time2,Chat,CLT
a1R3j0000043oEBEAY,Tramel Dennard,tramel.dennard@casedisponibilidade.br,2022-02-05,Ativo,Time1,Chat,CLT
a1R3j000003nb41EAA,Sweet Joseph,sweet.joseph@casedisponibilidade.br,2022-02-01,Ativo,Time1,Chat,CLT
a1R3j000002b5jOEAQ,Carbone Knisley,carbone.knisley@casedisponibilidade.br,2022-02-13,Ativo,Time1,Chat,CLT
a1R3j000003gH1aEAE,Harville Quimby,harville.quimby@casedisponibilidade.br,2022-02-18,Ativo,Time3,Chat,CLT
a1R3j0000043sVkEAI,Burrell Tracey,burrell.tracey@casedisponibilidade.br,2022-02-03,Ativo,Time1,Chat,CLT
a1R3j0000043oEXEAY,Barba Rodriguez,barba.rodriguez@casedisponibilidade.br,2022-02-14,Ativo,Time1,Chat,CLT
a1R3j000003na7eEAA,Colter Seely,colter.seely@casedisponibilidade.br,2022-02-13,Ativo,Time1,Chat,CLT
a1R3j000003gDbyEAE,Schulz Unknow,schulz.unknow@casedisponibilidade.br,2022-02-22,Ativo,Time1,Chat,CLT*
a1R3j000003na85EAA,Truett Baillargeon,truett.baillargeon@casedisponibilidade.br,2022-02-24,Ativo,Time1,Chat,CLT
a1R3j000002b8bGEAQ,Callender Bradshaw,callender.bradshaw@casedisponibilidade.br,2022-02-25,Ativo,Time2,Chat,CLT
a1R3j000003ndC8EAI,Bucher Underhill,bucher.underhill@casedisponibilidade.br,2022-02-17,Ativo,Time1,Chat,CLT
a1R3j000003na7xEAA,Leland Lyons,leland.lyons@casedisponibilidade.br,2022-02-11,Ativo,Time1,Chat,CLT
a1R1L000008dfbPUAQ,Nakamura Counts,nakamura.counts@casedisponibilidade.br,2022-02-09,Ativo,Time2,Chat,CLT
a1R3j0000043rzQEAQ,Starling Fike,starling.fike@casedisponibilidade.br,2022-02-19,Ativo,Time1,Chat,CLT
a1R3j000003gHO9EAM,Deeds Mallett,deeds.mallett@casedisponibilidade.br,2022-02-08,Ativo,Time1,Chat,CLT*
a1R3j000003gHKjEAM,Bigelow Pham,bigelow.pham@casedisponibilidade.br,2022-02-16,Ativo,Time1,Chat,CLT
a1R3j000003ndC5EAI,Froehlich Augustine,froehlich.augustine@casedisponibilidade.br,2022-02-19,Ativo,Time1,Chat,CLT
a1R3j000003gFtMEAU,Ridenour Tardif,ridenour.tardif@casedisponibilidade.br,2022-02-08,Ativo,Time1,Chat,CLT
a1R3j0000043szlEAA,Kellerman Conners,kellerman.conners@casedisponibilidade.br,2022-02-24,Ativo,Time2,Chat,CLT
a1R3j000002bBoVEAU,Campagna Mier,campagna.mier@casedisponibilidade.br,2022-02-16,Ativo,Time3,Chat,CLT
a1R3j0000043oFAEAY,Collard Biles,collard.biles@casedisponibilidade.br,2022-02-06,Ativo,Time1,Chat,TCE
a1R3j0000043rzhEAA,Snead Breton,snead.breton@casedisponibilidade.br,2022-02-09,Ativo,Time1,Chat,CLT
a1R3j000003nb3zEAA,Faucher Fast,faucher.fast@casedisponibilidade.br,2022-02-27,Ativo,Time1,Chat,CLT
a1R3j0000043oF3EAI,Mercurio Holmquist,mercurio.holmquist@casedisponibilidade.br,2022-02-28,Ativo,Time1,Chat,CLT
a1R1L000008db60UAA,Goodrich Lima,goodrich.lima@casedisponibilidade.br,2022-02-12,Ativo,Time1,Chat,CLT
a1R1L000007PP7hUAG,Lucky Trantham,lucky.trantham@casedisponibilidade.br,2022-02-03,Ativo,Time2,Chat,CLT
a1R3j000002bCpAEAU,Arzola Brogan,arzola.brogan@casedisponibilidade.br,2022-02-04,Ativo,Time1,Chat,CLT
a1R3j000002bBppEAE,Driver Santamaria,driver.santamaria@casedisponibilidade.br,2022-02-02,Ativo,Time3,Chat,CLT
a1R3j000003na86EAA,Donato Shackelford,donato.shackelford@casedisponibilidade.br,2022-02-10,Ativo,Time1,Chat,CLT
a1R3j0000043szkEAA,Ragland Ricker,ragland.ricker@casedisponibilidade.br,2022-02-17,Ativo,Time1,Chat,CLT
a1R1L000008eTNJUA2,Reading Nutter,reading.nutter@casedisponibilidade.br,2022-02-09,Ativo,Time2,Chat,CLT
a1R3j000003gH1lEAE,Salmon Christman,salmon.christman@casedisponibilidade.br,2022-02-16,Ativo,Time2,Chat,CLT
a1R3j0000043sWXEAY,Western Deegan,western.deegan@casedisponibilidade.br,2022-02-20,Ativo,Time2,Chat,CLT
a1R3j0000043oEVEAY,Volk Conaway,volk.conaway@casedisponibilidade.br,2022-02-01,Ativo,Time1,Chat,CLT*
a1R3j0000043obeEAA,Calabrese Keister,calabrese.keister@casedisponibilidade.br,2022-02-16,Ativo,Time3,Chat,CLT
a1R3j000003gGXrEAM,Stott Bolt,stott.bolt@casedisponibilidade.br,2022-02-20,Ativo,Time3,Chat,CLT
a1R3j000002bAaqEAE,Webster Greathouse,webster.greathouse@casedisponibilidade.br,2022-02-15,Férias,Time1,Chat,CLT
a1R3j000003gHKfEAM,Swan Calabro,swan.calabro@casedisponibilidade.br,2022-02-24,Ativo,Time1,Chat,CLT
a1R3j0000043rupEAA,Hurley Shell,hurley.shell@casedisponibilidade.br,2022-02-02,Ativo,Time1,Chat,CLT
a1R1L000008dhv2UAA,Panek Ligon,panek.ligon@casedisponibilidade.br,2022-02-17,Ativo,Time1,Chat,CLT
a1R3j0000043sznEAA,Gilliard Boozer,gilliard.boozer@casedisponibilidade.br,2022-02-08,Ativo,Time1,Chat,CLT
a1R3j0000043s1fEAA,Alter Brundage,alter.brundage@casedisponibilidade.br,2022-02-03,Ativo,Time3,Chat,CLT
a1R3j000002b5jFEAQ,Fontenot Kim,fontenot.kim@casedisponibilidade.br,2022-02-03,Ativo,Time2,Chat,CLT
a1R3j000002b8bQEAQ,Bear Cato,bear.cato@casedisponibilidade.br,2022-02-01,Ativo,Time1,Chat,CLT
a1R3j000003gHJeEAM,Threadgill Dennis,threadgill.dennis@casedisponibilidade.br,2022-02-26,Ativo,Time1,Chat,CLT
a1R3j0000043sWFEAY,Fennell Theriot,fennell.theriot@casedisponibilidade.br,2022-02-04,Ativo,Time1,Chat,CLT
a1R3j000003ndC6EAI,Westlund Wooldridge,westlund.wooldridge@casedisponibilidade.br,2022-02-06,Ativo,Time1,Chat,CLT
a1R3j000003gECYEA2,Hashimoto Cassidy,hashimoto.cassidy@casedisponibilidade.br,2022-02-25,Ativo,Time1,Chat,CLT
a1R3j000003nb4IEAQ,Lazo Chavira,lazo.chavira@casedisponibilidade.br,2022-02-14,Ativo,Time1,Chat,CLT*
a1R3j0000043oETEAY,Whitacre Larocca,whitacre.larocca@casedisponibilidade.br,2022-02-09,Ativo,Time1,Chat,CLT
a1R3j000003gHL3EAM,Perreira Petrie,perreira.petrie@casedisponibilidade.br,2022-02-03,Ativo,Time3,Chat,CLT
a1R3j000002b5j9EAA,Goldberg Mcmullin,goldberg.mcmullin@casedisponibilidade.br,2022-02-08,Ativo,Time1,Chat,CLT
a1R3j000003gHKUEA2,Ardoin Pearl,ardoin.pearl@casedisponibilidade.br,2022-02-08,Ativo,Time2,Chat,CLT
a1R3j0000043sVVEAY,Lees Pease,lees.pease@casedisponibilidade.br,2022-02-19,Ativo,Time1,Chat,CLT
a1R3j000002b8aSEAQ,Treece Kahler,treece.kahler@casedisponibilidade.br,2022-02-11,Férias,Time1,Chat,CLT
a1R3j000003ndCCEAY,Kinder Wysocki,kinder.wysocki@casedisponibilidade.br,2022-02-05,Ativo,Time1,Chat,CLT
a1R1L000007YXREUA4,Brunner Eklund,brunner.eklund@casedisponibilidade.br,2022-02-03,Ativo,Time1,Chat,CLT
a1R1L00000F91toUAB,Avelar Robison,avelar.robison@casedisponibilidade.br,2022-02-22,Ativo,Time1,Chat,CLT
a1R3j0000043rzUEAQ,Durham Mccracken,durham.mccracken@casedisponibilidade.br,2022-02-21,Ativo,Time1,Chat,CLT
a1R3j0000043sW5EAI,Jamerson Burnside,jamerson.burnside@casedisponibilidade.br,2022-02-24,Ativo,Time2,Chat,CLT
a1R3j000003gHKiEAM,Colquitt Dement,colquitt.dement@casedisponibilidade.br,2022-02-28,Ativo,Time1,Chat,CLT
a1R3j000002bCoZEAU,Mcqueen Bailes,mcqueen.bailes@casedisponibilidade.br,2022-02-28,Ativo,Time2,Chat,CLT
a1R3j000003gGITEA2,Roberson Grogan,roberson.grogan@casedisponibilidade.br,2022-02-12,Ativo,Time1,Chat,CLT
a1R3j000002b8aTEAQ,Baier Haggerty,baier.haggerty@casedisponibilidade.br,2022-02-04,Ativo,Time2,Chat,CLT
a1R3j000003na8GEAQ,Minnick Gaston,minnick.gaston@casedisponibilidade.br,2022-02-02,Ativo,Time1,Chat,CLT
a1R3j000003gDcAEAU,Gass Merryman,gass.merryman@casedisponibilidade.br,2022-02-13,Ativo,Time1,Chat,CLT
a1R3j000002b6KFEAY,Agee Soper,agee.soper@casedisponibilidade.br,2022-02-04,Ativo,Time1,Chat,CLT
a1R3j0000043s1fEAA,Alter Brundage,alter.brundage@casedisponibilidade.br,2022-02-10,Ativo,Time3,Chat,CLT
a1R3j0000043syoEAA,Bastian Giddings,bastian.giddings@casedisponibilidade.br,2022-02-08,Ativo,Time1,Chat,CLT
a1R3j0000043rzTEAQ,Enoch Feder,enoch.feder@casedisponibilidade.br,2022-02-05,Ativo,Time2,Chat,CLT
a1R1L00000F91toUAB,Avelar Robison,avelar.robison@casedisponibilidade.br,2022-02-28,Ativo,Time1,Chat,CLT
a1R3j0000043syoEAA,Bastian Giddings,bastian.giddings@casedisponibilidade.br,2022-02-10,Ativo,Time1,Chat,CLT
a1R3j0000043ninEAA,Kessinger Pinto,kessinger.pinto@casedisponibilidade.br,2022-02-16,Ativo,Time3,Chat,CLT
a1R3j0000043rzhEAA,Snead Breton,snead.breton@casedisponibilidade.br,2022-02-20,Ativo,Time1,Chat,CLT
a1R3j000003ndCPEAY,Rosales Milne,rosales.milne@casedisponibilidade.br,2022-02-19,Ativo,Time1,Chat,CLT
a1R3j000003nb49EAA,Melnick Urias,melnick.urias@casedisponibilidade.br,2022-02-04,Ativo,Time1,Chat,CLT
a1R3j000002b5jZEAQ,Raney Pegram,raney.pegram@casedisponibilidade.br,2022-02-15,Ativo,Time1,Chat,CLT
a1R3j000002b8b3EAA,Deen Arvizu,deen.arvizu@casedisponibilidade.br,2022-02-08,Ativo,Time1,Chat,CLT
a1R3j000003gDbyEAE,Schulz Unknow,schulz.unknow@casedisponibilidade.br,2022-02-12,Ativo,Time1,Chat,CLT*
a1R3j000003gHJyEAM,Milligan Ezell,milligan.ezell@casedisponibilidade.br,2022-02-10,Ativo,Time1,Chat,CLT
a1R3j000002bCp9EAE,Hickey Twyman,hickey.twyman@casedisponibilidade.br,2022-02-05,Férias,Time1,Chat,CLT
a1R3j0000043sWIEAY,Horning Carter,horning.carter@casedisponibilidade.br,2022-02-04,Ativo,Time1,Chat,CLT
a1R3j000002b5j9EAA,Goldberg Mcmullin,goldberg.mcmullin@casedisponibilidade.br,2022-02-12,Ativo,Time1,Chat,CLT
a1R3j000002bCoWEAU,Wiser Blanchard,wiser.blanchard@casedisponibilidade.br,2022-02-23,Ativo,Time1,Chat,CLT
a1R3j000003nb41EAA,Sweet Joseph,sweet.joseph@casedisponibilidade.br,2022-02-23,Ativo,Time1,Chat,CLT
a1R3j000003ndC5EAI,Froehlich Augustine,froehlich.augustine@casedisponibilidade.br,2022-02-02,Ativo,Time1,Chat,CLT
a1R3j0000043sWhEAI,Muro Sowers,muro.sowers@casedisponibilidade.br,2022-02-16,Ativo,Time1,Chat,CLT
a1R3j000003gECQEA2,Durbin Rickman,durbin.rickman@casedisponibilidade.br,2022-02-20,Ativo,Time1,Chat,CLT
a1R3j000003gHPJEA2,Daigle Branham,daigle.branham@casedisponibilidade.br,2022-02-07,Ativo,Time1,Chat,CLT
a1R3j000002bBpmEAE,Seals Witter,seals.witter@casedisponibilidade.br,2022-02-28,Ativo,Time3,Chat,CLT
a1R3j0000043s1qEAA,Dockery Bartell,dockery.bartell@casedisponibilidade.br,2022-02-09,Ativo,Time3,Chat,CLT
a1R3j000002b8ayEAA,Dilley Duffey,dilley.duffey@casedisponibilidade.br,2022-02-21,Ativo,Time1,Chat,CLT
a1R3j000002b742EAA,Lunde Verduzco,lunde.verduzco@casedisponibilidade.br,2022-02-01,Ativo,Time1,Chat,CLT
a1R3j0000043sziEAA,Peeples Forde,peeples.forde@casedisponibilidade.br,2022-02-26,Ativo,Time1,Chat,CLT*
a1R3j000003gEBzEAM,Arriaga Forney,arriaga.forney@casedisponibilidade.br,2022-02-03,Ativo,Time2,Chat,CLT
a1R3j000002b6K9EAI,Palomino Bearden,palomino.bearden@casedisponibilidade.br,2022-02-25,Ativo,Time1,Chat,CLT
a1R3j0000043s1iEAA,Chan Schrock,chan.schrock@casedisponibilidade.br,2022-02-04,Ativo,Time3,Chat,CLT
a1R1L000008dS6VUAU,Pinson Raphael,pinson.raphael@casedisponibilidade.br,2022-02-18,Ativo,Time2,Chat,CLT
a1R3j000002b749EAA,Dangerfield Osterman,dangerfield.osterman@casedisponibilidade.br,2022-02-27,Ativo,Time1,Chat,CLT
a1R3j000002b5jIEAQ,Sessoms Sutphin,sessoms.sutphin@casedisponibilidade.br,2022-02-05,Ativo,Time1,Chat,CLT
a1R3j000003gHJqEAM,Voyles Flatt,voyles.flatt@casedisponibilidade.br,2022-02-18,Ativo,Time1,Chat,CLT
a1R3j0000043sVqEAI,Mosby Currie,mosby.currie@casedisponibilidade.br,2022-02-06,Ativo,Time1,Chat,CLT
a1R3j000002bBoMEAU,Urbina Matheny,urbina.matheny@casedisponibilidade.br,2022-02-03,Ativo,Time3,Chat,CLT
a1R3j000003gHKUEA2,Ardoin Pearl,ardoin.pearl@casedisponibilidade.br,2022-02-09,Ativo,Time2,Chat,CLT
a1R3j000003na7pEAA,Porter Dunston,porter.dunston@casedisponibilidade.br,2022-02-16,Ativo,Time1,Chat,CLT
a1R3j000003ncMgEAI,Johns Cauthen,johns.cauthen@casedisponibilidade.br,2022-02-21,Ativo,Time1,Chat,CLT
a1R3j000003ncM5EAI,Mcvey Chase,mcvey.chase@casedisponibilidade.br,2022-02-09,Ativo,Time1,Chat,CLT
a1R3j000002b73WEAQ,Nolin Curley,nolin.curley@casedisponibilidade.br,2022-02-24,Ativo,Time1,Chat,CLT
a1R3j0000043s1kEAA,Mackenzie Benn,mackenzie.benn@casedisponibilidade.br,2022-02-17,Ativo,Time3,Chat,CLT
a1R1L000008dfbRUAQ,Sands Stouffer,sands.stouffer@casedisponibilidade.br,2022-02-20,Ativo,Time2,Chat,CLT
a1R1L000008dfbPUAQ,Nakamura Counts,nakamura.counts@casedisponibilidade.br,2022-02-21,Ativo,Time2,Chat,CLT
a1R3j000003gDcAEAU,Gass Merryman,gass.merryman@casedisponibilidade.br,2022-02-02,Ativo,Time1,Chat,CLT
a1R3j000003na8EEAQ,Scarbrough Trapp,scarbrough.trapp@casedisponibilidade.br,2022-02-25,Ativo,Time1,Chat,CLT
a1R1L000007It5aUAC,Blanchette Bremer,blanchette.bremer@casedisponibilidade.br,2022-02-22,Ativo,Time2,Chat,CLT
a1R3j0000043szlEAA,Kellerman Conners,kellerman.conners@casedisponibilidade.br,2022-02-12,Ativo,Time2,Chat,CLT
a1R3j0000043sWIEAY,Horning Carter,horning.carter@casedisponibilidade.br,2022-02-16,Ativo,Time1,Chat,CLT
a1R3j000003gHPJEA2,Daigle Branham,daigle.branham@casedisponibilidade.br,2022-02-22,Ativo,Time1,Chat,CLT
a1R1L000007POQyUAO,Verdin Felker,verdin.felker@casedisponibilidade.br,2022-02-19,Ativo,Time3,Chat,CLT
a1R3j0000043rzLEAQ,Safford Drees,safford.drees@casedisponibilidade.br,2022-02-17,Ativo,Time1,Chat,CLT
a1R3j0000043sVqEAI,Mosby Currie,mosby.currie@casedisponibilidade.br,2022-02-13,Ativo,Time1,Chat,CLT
a1R3j0000043ninEAA,Kessinger Pinto,kessinger.pinto@casedisponibilidade.br,2022-02-01,Ativo,Time3,Chat,CLT
a1R3j0000043sWiEAI,Hansen Conwell,hansen.conwell@casedisponibilidade.br,2022-02-18,Ativo,Time1,Chat,CLT
a1R3j0000043oEHEAY,Oshiro Nock,oshiro.nock@casedisponibilidade.br,2022-02-22,Ativo,Time1,Chat,CLT
a1R3j000003gGZkEAM,Fix Madden,fix.madden@casedisponibilidade.br,2022-02-21,Ativo,Time3,Chat,CLT
a1R1L000008dfbRUAQ,Sands Stouffer,sands.stouffer@casedisponibilidade.br,2022-02-23,Ativo,Time2,Chat,CLT
a1R3j000002b8adEAA,Caceres Masterson,caceres.masterson@casedisponibilidade.br,2022-02-25,Ativo,Time1,Chat,CLT
a1R3j000002bCpAEAU,Arzola Brogan,arzola.brogan@casedisponibilidade.br,2022-02-01,Ativo,Time1,Chat,CLT
a1R3j000003gHK8EAM,Saucier Hilbert,saucier.hilbert@casedisponibilidade.br,2022-02-15,Ativo,Time1,Chat,CLT
a1R3j000003gHOrEAM,Ayers Bracey,ayers.bracey@casedisponibilidade.br,2022-02-03,Ativo,Time1,Chat,CLT*
a1R3j000003gECAEA2,Mahoney Keck,mahoney.keck@casedisponibilidade.br,2022-02-21,Ativo,Time1,Chat,CLT
a1R3j000003nb4WEAQ,Wyman Wimmer,wyman.wimmer@casedisponibilidade.br,2022-02-10,Ativo,Time1,Chat,CLT
a1R3j000003gHP8EAM,Mccool Whisenhunt,mccool.whisenhunt@casedisponibilidade.br,2022-02-06,Ativo,Time1,Chat,CLT
a1R3j000003gHKfEAM,Swan Calabro,swan.calabro@casedisponibilidade.br,2022-02-14,Ativo,Time1,Chat,CLT
a1R3j000002bCoaEAE,Dobbins Sevilla,dobbins.sevilla@casedisponibilidade.br,2022-02-25,Ativo,Time1,Chat,CLT
a1R3j000002b8bFEAQ,Rainey Medlin,rainey.medlin@casedisponibilidade.br,2022-02-28,Ativo,Time1,Chat,CLT
a1R1L000007YXRAUA4,Pereira Ng,pereira.ng@casedisponibilidade.br,2022-02-04,Ativo,Time2,Chat,CLT
a1R3j0000043sWIEAY,Horning Carter,horning.carter@casedisponibilidade.br,2022-02-21,Ativo,Time1,Chat,CLT
a1R3j000002b8aZEAQ,Lujan Boles,lujan.boles@casedisponibilidade.br,2022-02-15,Ativo,Time1,Chat,CLT
a1R3j000003gHKYEA2,Rankin Parry,rankin.parry@casedisponibilidade.br,2022-02-26,Ativo,Time1,Chat,CLT
a1R3j000002b8b0EAA,Rains Nabors,rains.nabors@casedisponibilidade.br,2022-02-20,Ativo,Time1,Chat,CLT
a1R3j000002b8ayEAA,Dilley Duffey,dilley.duffey@casedisponibilidade.br,2022-02-11,Ativo,Time1,Chat,CLT
a1R3j000003gHOPEA2,Brimmer Brinkman,brimmer.brinkman@casedisponibilidade.br,2022-02-08,Ativo,Time1,Chat,CLT
a1R3j000002bCoYEAU,Gales Warner,gales.warner@casedisponibilidade.br,2022-02-14,Ativo,Time1,Chat,CLT
a1R3j000003nb48EAA,Prosser Obryan,prosser.obryan@casedisponibilidade.br,2022-02-03,Ativo,Time1,Chat,CLT
a1R3j000003gHPNEA2,Strong Chester,strong.chester@casedisponibilidade.br,2022-02-21,Ativo,Time1,Chat,CLT
